Payment_ID,CONNECT_DATE,SUBSCRIBER_ID#,RENT_REVENUE,OUT_BUNDLE_REVENUE,CREATION_FEES_REVENUE,DEVICES_REVENUE,IN_BUNDLE_REVENUE,ADDON_REVENUE,TAX_AMOUNT
127265,2025-02-08,70633098,290.0,0,0,0.0,290.0,0,0
168783,2023-11-25,76907019,210.0,0,0,0.0,210.0,0,0
193600,2024-11-27,82422407,180.0,0,0,0.0,160.0,20,0
194069,2025-02-24,82521135,20.0,0,0,0.0,0.0,20,0
174819,2023-09-11,78187552,120.0,0,0,0.0,120.0,0,0
323048,2023-03-29,2206113230,5.0,0,0,0.0,0.0,5,0
128876,2024-11-20,70886322,160.0,0,0,0.0,160.0,0,0
323517,2024-10-04,2206124747,160.0,0,0,0.0,160.0,0,0
263891,2024-02-01,2202442594,160.0,0,0,0.0,160.0,0,0
23103,2023-04-13,53930506,5.0,0,0,0.0,0.0,5,0
5464,2024-03-29,50982635,160.0,0,0,0.0,160.0,0,0
225391,2024-09-08,98173579,160.0,0,0,0.0,160.0,0,0
269927,2024-05-27,2202937877,160.0,0,0,0.0,160.0,0,0
159729,2024-05-03,75394021,160.0,0,0,0.0,160.0,0,0
354370,2023-12-29,2207730448,5.0,0,0,0.0,0.0,5,0
81791,2024-10-13,63054456,160.0,0,0,0.0,160.0,0,0
280592,2024-08-03,2203685623,160.0,0,0,0.0,160.0,0,0
311445,2024-11-18,2205542363,160.0,0,0,0.0,160.0,0,0
297558,2023-05-03,2204761096,120.0,0,0,0.0,120.0,0,0
152082,2025-04-30,74303810,10.0,0,0,0.0,0.0,10,0
337200,2025-03-07,2206823183,210.0,0,0,0.0,210.0,0,0
292195,2023-02-25,2204426688,170.0,0,0,0.0,170.0,0,0
213319,2025-02-10,90394916,340.0,0,0,0.0,290.0,50,0
142559,2023-01-27,72961508,10.0,0,0,0.0,0.0,10,0
328146,2023-08-02,2206337958,125.0,0,0,0.0,120.0,5,0
18678,2025-03-29,53209609,210.0,0,0,0.0,210.0,0,0
283141,2024-01-18,2203843194,160.0,0,0,0.0,160.0,0,0
295682,2024-02-11,2204643563,165.0,0,0,0.0,160.0,5,0
61134,2023-10-09,59869032,240.0,0,0,0.0,210.0,30,0
145577,2023-09-06,73290615,130.0,0,0,0.0,120.0,10,0
29812,2024-03-18,55139705,225.0,0,0,0.0,225.0,0,0
302860,2024-12-19,2205068498,210.0,0,0,0.0,210.0,0,0
172943,2024-04-15,77789007,160.0,0,0,0.0,160.0,0,0
4057,2024-01-04,50619689,120.0,0,0,0.0,120.0,0,0
148595,2023-12-14,73842162,10.0,0,0,0.0,0.0,10,0
289177,2024-12-02,2204255937,160.0,0,0,0.0,160.0,0,0
281530,2025-01-25,2203753372,5.0,0,0,0.0,0.0,5,0
203796,2023-10-02,86092411,50.0,0,0,0.0,0.0,50,0
153224,2023-07-12,74534812,130.0,0,0,0.0,120.0,10,0
121902,2025-01-13,69759051,220.0,0,0,0.0,210.0,10,0
257386,2025-02-08,2201891664,210.0,0,0,0.0,210.0,0,0
341360,2023-05-22,2207061512,120.0,0,0,0.0,120.0,0,0
335793,2024-05-24,2206757373,160.0,0,0,0.0,160.0,0,0
